Name,Cuisine,Rating,Likes,Dislike,Tips,Photos,Listed,Price Level,BeenHere,Reasons,Area
Spiga,Italian Restaurant,7.8,26,FALSE,6,74,38,2,0,0,中区
La Petite Maison,French Restaurant,8.5,13,FALSE,1,85,33,3,0,0,香港
The Sports Club (五陵會),Chinese Restaurant,7.7,16,FALSE,8,54,7,1,0,0,中環
Ronin,Japanese Restaurant,8.7,155,FALSE,58,370,757,2,0,1,中環
Bindaas Bar & Kitchen,Indian Restaurant,8.6,41,FALSE,19,37,63,2,0,1,中環
Godenya,Japanese Restaurant,8.3,12,FALSE,4,33,40,2,0,0,中区
Sang Kee Congee Shop (生記粥品專家),Chinese Restaurant,8.3,97,FALSE,40,233,399,1,0,1,Sheung Wan
Central Indian Restaurant,Indian Restaurant,8.2,13,FALSE,5,43,27,2,0,0,香港
Social Place (唐宮小聚),Dim Sum Restaurant,8.1,122,FALSE,49,366,219,2,0,1,"Central, Central and Western District"
Dragon State Kitchen Restaurant (龍邦燒味小廚茶餐廳),Hong Kong Restaurant,8.1,20,FALSE,10,57,41,0,0,0,Sheung Wan
Zagin Soba (座銀),Ramen Restaurant,7.7,21,FALSE,10,45,28,0,0,0,香港
Cheung Hing Kee Shanghai Pan-fried Buns (祥興記上海生煎包),Dumpling Restaurant,8.8,16,FALSE,8,35,51,1,0,0,中環
Mana! Fast Slow Food,Vegetarian / Vegan Restaurant,8.4,331,FALSE,148,544,699,2,0,1,中環
Tango Argentinian Steakhouse,Argentinian Restaurant,8.2,70,FALSE,46,188,70,2,0,1,中環
Keyaki,Japanese Restaurant,8,19,FALSE,10,34,24,2,0,0,香港
Beyrouth Bistro,Middle Eastern Restaurant,8,28,FALSE,20,36,22,2,0,0,中環
Te Quiero Mucho,Mexican Restaurant,8.9,10,FALSE,8,23,19,1,0,0,香港
Yakiniku Great,Japanese Restaurant,7.7,37,FALSE,12,129,78,2,0,1,
Lobster Bar and Grill,Seafood Restaurant,8.1,73,FALSE,34,236,173,3,0,1,中環
Ammo Restaurant & Bar,Italian Restaurant,8,75,FALSE,38,240,165,2,0,1,中環
Tien Yi Chinese Restaurant (天一酒家),Cantonese Restaurant,7.7,24,FALSE,9,42,8,0,0,0,金鐘
Waterside Terrace,Thai Restaurant,7.6,7,FALSE,3,26,2,2,0,0,中環
Fish Bar & Grill (Fish Bar & Grill 魚吧),Seafood Restaurant,7.6,29,FALSE,22,124,23,3,0,0,金鐘
The Continental,Modern European Restaurant,7.6,52,FALSE,23,176,41,0,0,1,金鐘
Brasserie on the Eighth,French Restaurant,7.5,20,FALSE,14,56,19,3,0,0,灣仔
Dim Sum Library,Dim Sum Restaurant,7.4,47,FALSE,20,173,66,2,0,1,香港
Nadaman (灘萬),Sushi Restaurant,7.4,33,FALSE,19,182,41,2,0,1,中環
Nicholini's (意寧谷),Italian Restaurant,7.3,37,FALSE,18,133,48,2,0,1,中環
Golden Leaf (金葉庭),Chinese Restaurant,7.3,24,FALSE,11,119,61,1,0,0,中環
Ho Lee Fook (口利福),Chinese Restaurant,8.5,267,FALSE,122,402,858,1,0,1,Central District
Fresca,Vegetarian / Vegan Restaurant,8.4,30,FALSE,9,34,51,2,0,0,香港
La Vache!,French Restaurant,8.2,189,FALSE,94,322,283,2,0,1,中環
Uma Nota,Brazilian Restaurant,8.1,32,FALSE,15,57,70,2,0,1,香港
Brickhouse,Mexican Restaurant,8.2,251,FALSE,119,479,595,1,0,1,中環
Sake Bar Ginn,Japanese Restaurant,8.7,32,FALSE,11,90,193,2,0,1,中環
Carbone,Italian Restaurant,8.5,136,FALSE,64,234,301,2,0,1,中区
Sushi Kuu (壽司喰),Sushi Restaurant,7.9,140,FALSE,73,513,356,3,0,1,中環
Toritama (酉玉),Japanese Restaurant,8.1,42,FALSE,16,103,93,2,0,1,中環
Tokio Joe,Japanese Restaurant,7.9,49,FALSE,34,114,95,2,0,1,中環
Hard Rock Café Hong Kong,American Restaurant,7.9,344,FALSE,102,1329,117,2,0,1,中区
Hanagushi Yakitori (花串日本料理),Japanese Restaurant,7.6,30,FALSE,11,88,22,2,0,0,中環
Kitcho Sushi,Sushi Restaurant,7.4,12,FALSE,3,38,9,2,0,0,香港
Okra Hong Kong,Japanese Restaurant,9.2,51,FALSE,26,164,259,2,0,1,Sai Ying Pun
Chachawan,Thai Restaurant,8.7,324,FALSE,103,487,683,2,0,1,Sheung Wan
Frantzén's Kitchen by Björn Frantzén,Scandinavian Restaurant,8.7,28,FALSE,10,98,85,2,0,0,香港
Chautari Restaurant,Indian Restaurant,8.6,57,FALSE,33,98,209,2,0,1,Sheung Wan
MANA! Café,Vegetarian / Vegan Restaurant,8.4,55,FALSE,14,49,112,2,0,1,Sheung Wan
